"","PMID","Title","Authors","Citation","First.Author","Journal.Book","Publication.Year","Create.Date","PMCID","NIHMS.ID","DOI"
"1",36993958,"Integrated pan-cancer analysis and experimental verification of the roles of tropomyosin 4 in gastric cancer","Guo Q, Zhao L, Yan N, Li Y, Guo C, Dang S, Shen X, Han J, Luo Y.","Front Immunol. 2023 Mar 13;14:1148056. doi: 10.3389/fimmu.2023.1148056. eCollection 2023.","Guo Q","Front Immunol",2023,"2023/03/30","PMC10041708","","10.3389/fimmu.2023.1148056"
"2",37144459,"g:Profiler-interoperable web service for functional enrichment analysis and gene identifier mapping (2023 update)","Kolberg L, Raudvere U, Kuzmin I, Adler P, Vilo J, Peterson H.","Nucleic Acids Res. 2023 Jul 5;51(W1):W207-W212. doi: 10.1093/nar/gkad347.","Kolberg L","Nucleic Acids Res",2023,"2023/05/05","PMC10320099","","10.1093/nar/gkad347"
"3",37573394,"Weighted gene coexpression network analysis and machine learning reveal oncogenome associated microbiome plays an important role in tumor immunity and prognosis in pan-cancer","Guan SW, Lin Q, Wu XD, Yu HB.","J Transl Med. 2023 Aug 12;21(1):537. doi: 10.1186/s12967-023-04411-0.","Guan SW","J Transl Med",2023,"2023/08/12","PMC10422781","","10.1186/s12967-023-04411-0"
"4",37876543,"Functional enrichment analysis of mutated genes in children with hyperthyroidism","Mao X, Tang L, Li H, Zhang W, Liu L, Wang H, Headar A.","Front Endocrinol (Lausanne). 2023 Oct 9;14:1213465. doi: 10.3389/fendo.2023.1213465. eCollection 2023.","Mao X","Front Endocrinol (Lausanne)",2023,"2023/10/25","PMC10591315","","10.3389/fendo.2023.1213465"
"5",37434203,"Identification of mitochondrial related signature associated with immune microenvironment in Alzheimer's disease","Zhang Y, Miao Y, Tan J, Chen F, Lei P, Zhang Q.","J Transl Med. 2023 Jul 11;21(1):458. doi: 10.1186/s12967-023-04254-9.","Zhang Y","J Transl Med",2023,"2023/07/11","PMC10334674","","10.1186/s12967-023-04254-9"
"6",37749641,"Nano-seq analysis reveals different functional tendency between exosomes and microvesicles derived from hUMSC","Yu D, Mei Y, Wang L, Zhao Y, Fan X, Liang D, Li L, Zhu J, Bi S, Wang X, Qi Z, Zhu L, Wang Y.","Stem Cell Res Ther. 2023 Sep 25;14(1):272. doi: 10.1186/s13287-023-03491-5.","Yu D","Stem Cell Res Ther",2023,"2023/09/25","PMC10521478","","10.1186/s13287-023-03491-5"
"7",37781041,"Role of glycosphingolipid biosynthesis coregulators in malignant progression of thymoma","Zhang X, Zeng B, Zhu H, Ma R, Yuan P, Chen Z, Su C, Liu Z, Yao X, Lawrence A, Liu Z, Zou J.","Int J Biol Sci. 2023 Aug 21;19(14):4442-4456. doi: 10.7150/ijbs.83468. eCollection 2023.","Zhang X","Int J Biol Sci",2023,"2023/10/02","PMC10535712","","10.7150/ijbs.83468"
"8",37243202,"Functional Profiling and Evolutionary Analysis of a Marine Microalgal Virus Pangenome","Lobb B, Shapter A, Doxey AC, Nissimov JI.","Viruses. 2023 May 5;15(5):1116. doi: 10.3390/v15051116.","Lobb B","Viruses",2023,"2023/05/27","PMC10222054","","10.3390/v15051116"
"9",37153842,"Potential Biomarkers for Parkinson Disease from Functional Enrichment and Bioinformatic Analysis of Global Gene Expression Patterns of Blood and Substantia Nigra Tissues","Elango R, Banaganapalli B, Mujalli A, AlRayes N, Almaghrabi S, Almansouri M, Sahly A, Jadkarim GA, Malik MZ, Kutbi HI, Shaik NA, Alefishat E.","Bioinform Biol Insights. 2023 Apr 29;17:11779322231166214. doi: 10.1177/11779322231166214. eCollection 2023.","Elango R","Bioinform Biol Insights",2023,"2023/05/08","PMC10155030","","10.1177/11779322231166214"
"10",36874006,"Exploring the mechanism of curcumin in the treatment of colon cancer based on network pharmacology and molecular docking","He Q, Liu C, Wang X, Rong K, Zhu M, Duan L, Zheng P, Mi Y.","Front Pharmacol. 2023 Feb 15;14:1102581. doi: 10.3389/fphar.2023.1102581. eCollection 2023.","He Q","Front Pharmacol",2023,"2023/03/06","PMC9975159","","10.3389/fphar.2023.1102581"
