"","GO.ID","Term","Annotated","Significant","Expected","Rank in p.value_classic","p.value_elim","p.value_classic","genes"
"1","GO:0051301","cell division",603,288,194.92,83,1.1e-09,8.9e-16,"Aatf,Actr2,Actr3,Ahctf1,Akna,Alkbh4,Anapc10,Anapc13,Anapc4,Anapc5,Ank3,Anln,Anxa11,Apc,Arf6,Arl3,Arl8b,Arpp19,Aspm,Aurka,Aurkb,Bcl2l1,Bin3,Birc5,Bmyc,Bora,Brip1,Bub1,Bub1b,Calm1,Calm2,Calm3,Ccdc124,Ccna2,Ccnb1,Ccnb2,Ccnd3,Ccne2,Ccng1,Ccng2,Ccnk,Ccnt1,Ccnt2,Cd2ap,Cdc123,Cdc14a,Cdc20,Cdc23,Cdc25b,Cdc25c,Cdc26,Cdc27,Cdc42,Cdc6,Cdca2,Cdca3,Cdca5,Cdca8,Cdk1,Cdk14,Cdk20,Cdk2ap2,Cdk5,Cdk6,Cdkn2a,Cenpa,Cenpc1,Cenpe,Cenps,Cenpt,Cenpv,Cenpw,Cenpx,Cep55,Cetn2,Chmp2a,Chmp3,Chmp4b,Chmp4c,Cib1,Cit,Ckap2,Cks1b,Cks2,Cltc,Cntrl,Csnk1a1,Cspp1,Cxcr5,Daxx,Dclre1a,Dctn3,Diaph3,Dis3l2,Dll1,Drd3,Dsn1,Dstn,Dynlt3,E2f8,Ect2,Ensa,Epb41,Epb41l2,Ercc2,Evi5,Exoc2,Exoc6,Exoc6b,Fam83d,Fbxo5,Fubp1,Fzr1,Git1,Gnai2,Gnl3,Haus1,Haus2,Haus3,Haus4,Haus8,Hells,Hmcn1,Hnrnpu,Hoxb4,Igf1r,Incenp,Ing2,Ino80,Iqgap1,Iqgap2,Ist1,Itgb1bp1,Itgb3bp,Kat2a,Katnb1,Kdf1,Kif11,Kif13a,Kif14,Kif20a,Kif20b,Kif23,Kif2c,Klhdc8b,Klhl42,Klhl9,Kmt5a,Knl1,Knstrn,Lats2,Lbh,Lef1,Lig1,Lig3,Lrp6,Lrrcc1,Mad1l1,Mad2l1,Map9,Mapre2,Mapre3,Mbip,Mcmbp,Mis18bp1,Mllt3,Myc,Myh10,Myh9,Ncapd2,Ncapg2,Ncaph,Ncoa3,Ndc80,Nde1,Nek2,Nek3,Notch1,Nsmce2,Nuf2,Numb,Nup43,Nusap1,Oip5,Pafah1b1,Pard3,Pard3b,Pard6a,Pds5b,Pelo,Pimreg,Pkp4,Plec,Plk1,Plk3,Poldip2,Ppp1ca,Ppp1cc,Prc1,Psrc1,Ptch1,Pttg1,Rab10,Rab11a,Rab11fip4,Racgap1,Ralb,Ran,Rbbp8,Rcc1,Reep3,Rhob,Rhoc,Rock1,Rps3,Samd9l,Sapcd2,Seh1l,Septin1,Septin10,Septin11,Septin2,Septin6,Septin8,Septin9,Sfn,Sfrp2,Sgf29,Sgo1,Sgo2a,Sirt2,Ska1,Ska2,Smc1a,Smc2,Smc4,Smc5,Snx33,Snx9,Son,Spag5,Spc24,Spc25,Spdl1,Spice1,Spout1,Ssna1,Stag1,Stambp,Stmn1,Stox1,Susd2,Syce2,Tacc1,Tacc3,Tada2a,Terf1,Tex14,Tgfb1,Tgfb3,Thoc2,Timeless,Top1,Top2a,Tpra1,Tpx2,Triobp,Txnip,Ube2c,Ube2i,Ulk4,Unc119,Usp37,Uvrag,Vegfc,Vps4a,Vrk1,Wapl,Wee1,Wnk1,Ybx1,Ythdf2,Zbtb18,Zc3hc1,Zfp36l2,Zfyve26,Zwint,Zzz3"
"2","GO:0043065","positive regulation of apoptotic process",610,276,197.19,136,1.7e-09,9.2e-12,"Acin1,Acvr1c,Adam10,Adam17,Adam8,Adora2a,Adrb2,Ager,Ahr,Aifm1,Aifm2,Aimp2,Akr1c18,Akt1,Ano6,Anxa1,Anxa5,Apaf1,Apbb1,Apbb2,Apc,Arhgef7,Arl6ip5,Arrb2,Atf6,Atg7,Atm,Atp2a2,Bace1,Bad,Bak1,Bard1,Bax,Bbc3,Bcap31,Bcl2a1a,Bcl2a1b,Bcl2a1c,Bcl2a1d,Bcl2l1,Bcl2l11,Bcl2l14,Bclaf1,Bid,Bin1,Bmf,Bmp7,Bmyc,Brms1,Bub1,Calhm2,Camk1d,Camk2a,Camk2b,Camk2d,Casp1,Casp3,Casp4,Casp7,Casp8,Ccl5,Ccn2,Cd160,Cd40lg,Cd44,Cdc34,Cdc34b,Cdc42,Cdk19,Cdk5,Cdkn2a,Cers6,Clip3,Col18a1,Ctla4,Ctnna1,Ctnnbl1,Ctsh,Ctsl,Ctss,Cxcr3,Dab2ip,Dapk1,Dapk3,Daxx,Degs1,Dffa,Dhodh,Dkkl1,Dusp1,E2f1,E2f3,Ect2,Eef1e1,Egr1,Ei24,Eif2ak2,Eif2ak3,Eif5a,Fas,Fasl,Fis1,Foxo1,Foxo3,Fto,G0s2,Gadd45b,Gadd45g,Gch1,Gpld1,Grik5,Grk2,Grn,Gsdme,Gsk3b,Gzma,Hif1a,Hip1r,Hmgb1,Hspd1,Htra1,Htra2,Id3,Ifit2,Igf2r,Il10,Il18,Il6,Ing5,Inpp5d,Irf5,Itga1,Itga4,Itga6,Itgb1,Itm2c,Jak2,Jak3,Jun,Katnb1,Klf11,Klrk1,Lats2,Lgals1,Lrp6,Lta,Lyn,Map3k1,Map3k20,Map3k5,Mcl1,Melk,Mtch1,Mybbp1a,Myc,Nacc2,Nck2,Net1,Nfkbid,Nod1,Nos3,Notch1,Nox1,Nqo1,Nqo2,Nr3c1,Nr4a3,Nsmaf,Ntrk3,Olfm1,Optn,Osm,Pdcd1,Phb1,Phlda2,Pidd1,Pik3cd,Plagl2,Plscr1,Pmaip1,Pou4f1,Pparg,Ppargc1a,Ppp1ca,Ppp2r1b,Prkcd,Prkra,Prmt2,Prnp,Psen1,Psen2,Pten,Ptrh2,Pycard,Qrich1,Rack1,Rapgef2,Rapsn,Rassf2,Rassf6,Rbm10,Rbm5,Rest,Rgcc,Rhob,Ripk3,Rps3,Rps6,Rps6-ps4,Rps7,Rrp1b,Runx3,Rxra,Rybp,Sap18,Sap18b,Sav1,Scin,Scp2,Selplg,Serinc3,Sfpq,Sfrp2,Shq1,Sirt2,Skil,Slc9a1,Smad4,Smpd2,Sod1,Sod2,Sox4,Sp110,Sphk2,Spop,Spry1,Src,Stk3,Stk4,Stpg1,Tcf7l2,Tfap4,Tgfb1,Tgfb3,Tgfbr1,Thbs1,Tia1,Tnfaip8,Tnfrsf10b,Tnfrsf12a,Tnfrsf1a,Tnfrsf1b,Tnfrsf8,Tnfsf10,Tomm40,Top2a,Tpd52l1,Tradd,Traf2,Trim35,Trp53,Trp53inp1,Trp73,Trpm7,Trps1,Tspo,Txnip,Ubb,Ube2m,Ube2z,Usp27x,Vdr,Wdr35,Zc3h12a,Zfp622,Zmat3"
"3","GO:0043066","negative regulation of apoptotic process",926,382,299.33,203,1.1e-06,3.1e-09,"Aatf,Acvr1,Ada,Adam17,Adam8,Adar,Adnp,Adora2a,Agap2,Ago4,Ahi1,Aif1,Aipl1,Akr1a1,Akt1,Akt2,Aldh2,Alms1,Amigo2,Anp32b,Apbb2,Apc,Apip,Arel1,Arf4,Arl6ip1,Arnt2,Arrb2,Asns,Atad5,Atg5,Atg7,Atox1,Atp7a,Aurka,Aurkb,Aven,Axl,Bag1,Bag3,Bak1,Bard1,Bax,Bcl11b,Bcl2,Bcl2a1a,Bcl2a1d,Bcl2l1,Bcl2l2,Bhlhb9,Bid,Birc3,Birc5,Bmf,Bmp7,Braf,Brca1,Btg2,Cacna1a,Camk1d,Capn3,Casp3,Cast,Ccl5,Ccng1,Ccr5,Ccr7,Cd2ap,Cd38,Cd40lg,Cd44,Cd59a,Cd59b,Cd74,Cdk1,Cdkn1a,Cdkn1b,Cdkn2d,Cebpb,Cerkl,Chd8,Ciapin1,Cib1,Cited2,Clcf1,Cln3,Coro1a,Creb3l1,Ctnna1,Ctsh,Cttn,Cx3cr1,Cxcr3,Dad1,Dapk1,Daxx,Dffa,Dll1,Dnajb6,Dock8,Drd3,Dusp1,Ednrb,Egr3,Eif2ak2,Eif2ak3,Eif5a,Ell3,Eno1,Eno1b,Epcam,Erbb2,Erbb3,Eya2,F2r,Faim,Fas,Fhl2,Fignl1,Flt3l,Foxo1,Foxp1,Fyn,G2e3,Gapdh,Gapdhrt2,Gata1,Gata3,Gch1,Gclc,Ghitm,Gimap3,Gimap5,Gnai2,Gnaq,Golph3,Gpx1,Grina,Grk2,Grn,Gsk3b,Gstp1,Gstp2,Gstp3,Hcls1,Hdac1,Hells,Hgf,Hif1a,Higd1a,Hip1r,Hipk3,Hk1,Hmgb2,Hmgn5,Hras,Hsf1,Hspa5,Hspb1,Hspd1,Icam1,Ier3,Ifit3,Ifit3b,Igf1r,Il10,Il18,Il1rn,Il2,Il6,Il6st,Il7,Il7r,Il9r,Ilk,Ing2,Insl3,Insl6,Irs2,Itch,Itga5,Itga6,Itgav,Itgb1,Itgb3,Itgb3bp,Itpkb,Itsn1,Ivns1abp,Jak2,Jak3,Jun,Kdm2b,Kif14,Kifap3,Kitl,Klhl20,Kras,Lamtor5,Lef1,Lgals3,Lgmn,Lims1,Lmna,Lrp1,Lrp6,Mad2l1,Madd,Map4k4,Mapk7,Mapk8ip1,Maz,Mcl1,Mdm2,Mdm4,Med1,Mertk,Mgmt,Mical1,Mien1,Mre11a,Mt1,Mt3,Mtdh,Myc,Mydgf,Naa16,Naa35,Naa38,Naip1,Naip2,Naip5,Naip6,Ncl,Ncoa3,Ndufa13,Nfe2l2,Nfix,Nfkb1,Niban2,Nle1,Nod2,Notch1,Npm1,Nqo1,Nr3c1,Nr4a2,Nr4a3,Nrbp2,Nrp1,Nuak2,Optn,Ormdl3,Oxr1,Pa2g4,Pak4,Pam16,Pcgf2,Pcid2,Pdcd1,Pdpk1,Phb1,Pidd1,Pik3ca,Pik3cg,Pik3r1,Pim1,Pim2,Pim3,Pink1,Plaur,Plk1,Plk2,Plk3,Plxnd1,Pou4f1,Ppargc1a,Ppt1,Prdx2,Prkaa1,Prkca,Prkcd,Prkch,Prkcq,Prkcz,Prlr,Prnp,Prokr1,Psen1,Psen2,Psmd10,Pten,Ptk2,Ptms,Ptrh2,Pttg1ip,Pycr1,Rack1,Ramp2,Rffl,Rgl2,Rhbdd1,Rictor,Rnf144b,Rock1,Rps3a1,Rps6,Rps6ka1,Rps6ka3,Rps6kb1,Rrn3,Selenos,Serpine1,Setx,Sfn,Sfrp2,Sgk1,Sgk3,Sh3rf1,Sin3a,Sirt2,Sirt4,Slc25a27,Slc25a4,Slc39a10,Slc7a5,Slc9a1,Smad3,Smad5,Smg9,Snai2,Sod1,Sod2,Son,Spp1,Src,St3gal1,St6gal1,Stambp,Star,Stat5a,Stat5b,Stil,Stk40,Stxbp1,Tcf7,Tcf7l2,Tgfb3,Tgfbr1,Tgfbr3,Thap11,Thbs1,Tle1,Tmbim1,Tmbim4,Tmbim6,Tmem14a,Tmem161a,Tmigd1,Tnfaip3,Tnfrsf18,Tnfrsf1a,Tnfrsf4,Tnfsf4,Traf2,Trap1,Trip10,Trp53,Trp73,Tsc22d3,Txndc12,Tyro3,Ube2b,Ube2z,Ucp2,Ufl1,Vps54,Ybx3,Ywhah,Zc3h12a,Zc3hc1,Zfand6"
"4","GO:0002726","positive regulation of T cell cytokine production",34,24,10.99,418,5.3e-06,5.4e-06,"Arid5a,B2m,Cd55,Cd55b,Cd81,Fzd5,Gata3,H2-D1,H2-K1,H2-Q1,H2-Q4,H2-Q6,H2-Q7,Il18,Il18r1,Il6,Malt1,Prkcz,Slamf1,Tbx21,Tnfsf4,Traf2,Traf6,Xcl1"
"5","GO:0006364","rRNA processing",214,108,69.18,247,1.1e-05,2.5e-08,"Bms1,Bud23,Bysl,C1d,Cdkn2a,Ddx10,Ddx27,Ddx54,Ddx56,Dhx37,Dkc1,Ebna1bp2,Ercc2,Eri2,Eri3,Exosc10,Exosc2,Exosc3,Exosc5,Exosc8,Fbl,Frg1,Ftsj3,Gtf2h5,Gtpbp4,Heatr1,Isg20,Kat2b,Kri1,Las1l,Lsm6,Lyar,Mak16,Mettl15,Mphosph10,Mphosph6,Mrm1,Mrto4,Mtrex,Naf1,Nat10,Ncl,Nob1,Nol11,Nol6,Nol8,Nol9,Nop14,Nop2,Nop53,Npm1,Npm3,Nsun5,Pa2g4,Pelp1,Pes1,Ppan,Pwp1,Pwp2,Rexo4,Riok1,Rpf2,Rpl10a,Rpl35,Rpl35rt,Rpl5,Rpl7,Rpp40,Rps16,Rps17,Rps19,Rps24,Rps25,Rps6,Rps6-ps4,Rps7,Rps8,Rpusd1,Rrp1,Rrp12,Rrp1b,Rrp8,Rrp9,Rsl1d1,Shq1,Snu13,Srfbp1,Suv39h1,Tbl3,Trmt2b,Tsr1,Tsr2,Urb1,Usp36,Utp14a,Utp14b,Utp15,Utp20,Utp25,Utp4,Wdr18,Wdr3,Wdr36,Wdr43,Wdr46,Wdr74,Ybey,Ythdf2"
"6","GO:0006886","intracellular protein transport",648,286,209.47,157,1.4e-05,1.1e-10,"Adar,Agk,Ahcyl1,Akt1,Anp32b,Ap1b1,Ap1m1,Ap1m2,Ap1s1,Ap1s2,Ap1s3,Ap2m1,Ap2s1,Ap3b1,Ap3d1,Ap3s1,Ap4b1,Ap4e1,Apba1,Appl2,Arf4,Arf5,Arf6,Arfip1,Arl1,Arl4a,Arl4c,Arl5a,Arl5b,Arl5c,Arl6,Atg14,Atp13a2,Aup1,B3gat3,Bag3,Bard1,Bcap29,Bcap31,Bcr,Bmal1,Brca1,Cabp1,Calr,Cd74,Cd81,Cdc42,Cdk1,Cdk5,Cdkn1a,Cdkn2a,Cep290,Chm,Clip1,Clip3,Cltb,Cltc,Commd1,Copg2,Cry2,Cse1l,Cttn,Derl1,Derl2,Desi1,Dusp16,E2f3,Ect2,Edem1,Efcab7,Egr2,Ehd1,Ei24,Eif3e,Elavl1,Emd,Ergic3,Erlec1,Exoc6,Exoc6b,Exph5,Fam53b,Fam53c,Frat1,Gga3,Gsk3b,H13,Hcls1,Hdac6,Heatr3,Hikeshi,Hspa5,Hspa9,Hspb1,Ice1,Ifi27,Ift22,Ift27,Il6,Ipo11,Ipo5,Ipo7,Itgb1,Jak2,Jup,Kcnip3,Kif13a,Kif20b,Kif3a,Kif5a,Kif5c,Kpna1,Kpna2,Kpna2rt,Kpna3,Kpna4,Kpna6,Kpnb1,Lamp2,Lcp1,Lmna,M6pr,Map1a,Mapk1,Mapk14,Mdfic,Mdm2,Med1,Mtch1,Myo5a,Myo7a,Napg,Ndufa13,Nedd4,Nfkbia,Nolc1,Notch1,Nsf,Nup107,Nup133,Nup153,Nup188,Nup85,Oaz1,Oaz2,Oaz3,Os9,Pdcd6,Pex10,Pex13,Pex16,Pex2,Pex26,Pex6,Pik3r1,Pkia,Pkig,Plk3,Prkaca,Prkcd,Prkcq,Psap,Psen1,Ptpn22,Ptpn5,Pttg1ip,Rab10,Rab11a,Rab19,Rab1a,Rab20,Rab21,Rab22a,Rab23,Rab27b,Rab28,Rab29,Rab2a,Rab31,Rab32,Rab43,Rab5b,Rab6b,Rab8b,Ramp1,Ramp2,Ran,Ranbp6,Rangap1,Rangrf,Rffl,Rhbdd1,Rhob,Ric1,Rilpl2,Ripor1,Romo1,Rtn2,Sar1b,Scg5,Sec24a,Sec31a,Sec31b,Sec61a1,Sec61b,Sec61g,Sec62,Sel1l,Selenos,Septin8,Sfn,Smurf1,Snapin,Snx1,Snx10,Snx13,Snx16,Snx2,Snx27,Snx33,Snx5,Snx8,Snx9,Sorcs2,Sp100,Sqstm1,Srpra,Stat3,Stk3,Stk4,Stx11,Stx17,Stx1a,Stx6,Stx8,Stxbp1,Styx-ps,Sumo1,Sytl1,Sytl2,Tardbp,Tgfb1,Timm13,Timm9,Tmco6,Tmed1,Tmed10,Tmed2,Tmed3,Tmed4,Tmed5,Tmem30a,Tmem30b,Tnfrsf1a,Tnpo1,Tnpo3,Tram1,Tram2,Trim37,Trp53,Txn1,Txnip,Ubac2,Ube2j1,Unc93b1,Vcp,Vps11,Vps13c,Vps25,Vps26a,Vps29,Vps37b,Vps41,Vps4a,Vps54,Vti1b,Wdr11,Wipf1,Wls,Xpo5,Xpo7,Yod1,Ywhae,Ywhah,Zc3h12a,Zdhhc2"
"7","GO:0048661","positive regulation of smooth muscle cell proliferation",113,58,36.53,493,2e-05,2.1e-05,"Ager,Aif1,Akt1,Bmpr1a,Calcrl,Camk2d,Ccl5,Ccn4,Cyba,Ddx39b,Egr1,Ern1,Foxp1,Frs2,Gnai2,Gnaq,Grk2,Gsk3b,Hbegf,Hif1a,Id2,Igf1r,Il18,Il6,Il6ra,Irak1,Irak4,Itga2,Itgb3,Jak2,Jun,Kcnn4,Ldlrap1,Map3k5,Mdm2,Mef2d,Myc,Nampt,Nox1,Nqo2,Nr4a3,Pak1,Pde4d,Phb1,Pik3ca,Pik3r1,Ppargc1a,Prkca,Ptafr,Ptk2,Rps6kb1,S1pr1,Skp2,Src,Stat5b,Tgfb1,Thbs1,Traf6"
"8","GO:0000079","regulation of cyclin-dependent protein serine/threonine kinase activity",62,36,20.04,507,2.5e-05,2.6e-05,"Adam17,Akt1,Apc,Casp3,Ccna2,Ccnb1,Ccnb2,Ccnd3,Ccne2,Ccng1,Ccng2,Ccni,Ccnj,Ccnjl,Cdkn1a,Cdkn1b,Cdkn1c,Cdkn2a,Cdkn2b,Cdkn2c,Cdkn2d,Gtpbp4,Kat2b,Lats2,Mapre3,Pim1,Plk1,Prox1,Psmd10,Psrc1,Pten,Rgcc,Sfn,Stil,Tfap4,Tnfaip3"
"9","GO:0007265","Ras protein signal transduction",104,54,33.62,510,2.5e-05,2.6e-05,"Arl6,Cnksr1,Csf1,Dab2ip,Dhcr24,Dok1,Dok2,Dok4,Erbb2,Grb2,Hras,Itpkb,Kitl,Kras,Ksr1,Ksr2,Lat,Notch1,Nras,Ntn1,Plk2,Ppp2cb,Rabgef1,Ralb,Ralgds,Ralgps2,Rapgef2,Rapgef4,Rapgef5,Rapgef6,Rasa2,Rasa3,Rasal1,Rasgef1a,Rasgef1c,Rasgrf2,Rasgrp1,Rasgrp2,Rasgrp4,Rassf1,Rit1,Rras2,Rsu1,Shtn1,Sos1,Spry1,Src,Stambp,Stk19,Syde1,Syde2,Timp2,Ulk1,Usp50"
"10","GO:1904951","positive regulation of establishment of protein localization",332,161,107.32,176,3.3e-05,5e-10,"Aacs,Acsl3,Acsl4,Actr3,Adam9,Adora2a,Akt2,Ang,Ank3,Anp32b,Anxa7,Apbb1,Arf6,Arhgef5,Arpc2,Atg7,Atp13a2,Atp2c1,B3gat3,Bad,Bag3,Baiap3,Bbc3,Bcap31,Brca1,Bsg,C1qtnf12,Cacna1d,Camk2n1,Cct3,Cct4,Cct5,Cct7,Cct8,Cd2ap,Cd38,Cd81,Cdc42,Cdk1,Cdk5,Cenpj,Cep120,Cep290,Cep295,Cib1,Cln3,Cnst,Commd1,Coro2b,Dkc1,Ect2,Edem1,Efcab7,Eif3e,Emd,Erbb2,Ergic3,Exph5,F2rl2,Fis1,Fto,Fyn,Gja1,Gnaq,Gnas,Golph3,Gpld1,Gpr68,Gsk3b,Hcls1,Hif1a,Hnrnpm,Hras,Hspa1l,Ice1,Il6,Ins2,Ipo5,Irs2,Itgam,Itgb1bp1,Jak2,Jup,Kcnb1,Kcnn4,Kif20b,Kif3a,Lrp1,Mapk1,Mapk14,Mdm2,Mpc2,Myh10,Myh9,Myo1c,Nadk,Ncoa6,Oaz1,Oaz2,Oaz3,Orai1,Pak1,Pard6a,Pck2,Pcsk1,Pfkm,Pgrmc1,Pik3r1,Pla2g6,Plk3,Pmaip1,Pparg,Prkaa1,Prkaca,Prkar1a,Prkcd,Prkcq,Prkcz,Prnp,Psen1,Ptbp1,Ptger4,Ptp4a3,Ptpn22,Ptpn5,Rab29,Rac1,Rack1,Ran,Rapgef4,Ripor1,Sar1b,Sec24a,Sfn,Sirt3,Sox4,Src,Sri,Stom,Tardbp,Tcf7l2,Tgfb1,Tgfb3,Tlr2,Tm7sf3,Tmed10,Tmem132a,Tmem30a,Tmem30b,Tnfrsf1a,Tomm7,Trpm4,Ttn,Vamp8,Vegfc,Wipf1,Wls,Wrap53,Ywhae,Zc3h12a,Zdhhc2"
